category	function
category16	putative glycosyl hydrolase protein
category10	phi:0000352 - negative regulation of DNA transposition; phi:0000043 - negative regulation of phage replication; go:0016564 - transcription repressor activity; phi:0000048 - negative transcriptional regulation of phage gene expression
category16	hypothetical protein YPMT1.3Ac
category01	aclame:function:512 - IS91 family; phi:0000160 - rolling circle transposition
category16	phi:0000332 - prophage mediated phage exclusion
category16	e17
category16	tellurite resistance protein
category16	l11
category10	putative prophage LambdaCh01, transcriptional regulator
category10	transcriptional regulator, MerR family
category16	e9
category16	go:0004653 - polypeptide N-acetylgalactosaminyltransferase activity
category16	O-antigen polymerase
category16	Orf15
category09	major tail protein a
category16	gp2
category16	Endonuclease/exonuclease/phosphatase
category16	dihydroorotase, multifunctional complex type
category16	Phage protein, HK97, gp10
category16	Hdf
category16	phosphoribosylglycinamide synthetase, ATP-grasp (A) domain protein
category16	IS1627s1-related, transposase
category09	putative tail assembly chaperone
category16	carboxyl transferase
category16	putative protein, slightly similar to carbohydrate deacetylase
category16	RzlA
category10	phi:0000002 - phage infectious cycle; go:0016564 - transcription repressor activity
category16	hypothetical protein YPMT1.26c
category16	tellurite resistance related protein
category16	membrane protein
category10	Putative transcriptional regulatory protein
category16	glycoside hydrolase, family 8
category16	Gp59
category16	Gp54
category16	putative phage head morphogenesis protein
category16	phi:0000122 - excisionase activity
category16	acetyltransferase, GNAT family protein
category16	gp20 portal vertex protein of head
category16	gp83
category08	phi:0000099 - holin activity; go:0034290 - holin activity; phi:0000013 - phage release by lysis
category10	phi:0000040 - phage transcription anti termination; phi:0000049 - positive transcriptional regulation of phage gene expression
category16	Cobaltochelatase, CobN subunit
category16	gp42
category16	putative regulatory protein
category10	phi:0000184 - transcription factor activity; go:0030611 - arsenate reductase activity
category16	core photosystem II reaction center protein
category16	Lxr
category16	PmgU
category16	nitrogen fixation protein
category04	BCCT transporter
category02	phi:0000268 - plasmid vegetative DNA replication; go:0006270 - DNA replication initiation
category16	Lipopolysaccharide biosynthesis protein-like
category16	putative RecF protein
category16	PmgR
category16	gp73
category10	Transcriptional regulator, xre family
category08	phi:0000013 - phage release by lysis; phi:0000342 - spanin
category16	Putative HNH endonuclease
category01	putative site-specific recombinase
category16	Molybdenum cofactor biosynthesis protein B
category16	putative secreted protein
category16	hypothetical protein YPMT1.18c
category16	ribonuclease H I
category16	gp164
category16	PROBABLE FLAGELLAR MOTOR SWITCH PROTEIN FLIN
category10	putative transcriptional regulator, XRE family
category16	gp118
category16	5-methyltetrahydrofolate--homocysteine methyltransferase
category16	exclusion protein
category16	gp64
category16	putative sigma factor
category16	putative phage DNA-binding protein
category16	Gp21 protein
category16	gp18
category16	go:0051213 - dioxygenase activity
category16	ORF283
category09	tail fiber assembly protein
category16	gp12
category16	gp29
category02	go:0004527 - exonuclease activity; go:0045004 - DNA replication proofreading
category16	gp94
category16	e33
category16	probable phosphoenolpyruvate synthase
category16	putative membrane-anchored protein
category16	e7
category01	integration host factor, beta subunit
category16	probable poly A polymerase
category09	tail sheath paralog
category16	gp116
category16	Tin
category16	e1
category16	ethanolamine utilization protein EutJ
category16	3-phosphoshikimate 1-carboxyvinyltransferase
category16	protein of unknown function DUF201
category16	LydB
category16	putative Tn916 ORF13 protein
category16	putative regulatory protein Cro
category16	30S ribosomal protein S21
category16	ORF151
category16	Coi
category16	gp63
category16	Mlp
category10	putative transcriptional activator
category16	hypothetical protein YPMT1.53c
category16	PmgF
category16	gp79
category16	Gp10
category16	gp21 prohead core scaffold protein and protease
category16	putative cytoplasmic protein
category16	ORF178
category16	gp52
category16	ORF050
category16	gp27
category16	go:0004478 - methionine adenosyltransferase activity
category12	aclame:function:549 - TA family relBE; go:0015643 - toxin binding; phi:0000322 - post-segregational killing
category16	permeases
category16	4Fe-4S ferredoxin, iron-sulfur binding domain protein
category16	gene 26 protein
category16	Gp9
category16	DdrA
category16	minor capsid protein
category16	TfbC
category16	ORF303
category16	Dc5
category16	DNA polymerase I-like
category16	gp115
category16	bacterio-opsin activator-like protein
category16	Orf13
category16	thioesterase family protein
category16	gp108
category16	putative proliferation cellular nuclear antigene
category16	hypothetical protein ORF056
category16	Nitroreductase
category02	putative DNA mismatch repair protein
category01	go:0003697 - single-stranded DNA binding; aclame:582 - Gp2.5-like recombinase
category16	helper derepression protein
category07	phi:0000271 - intercellular transfer by conjugation; go:0009297 - pilus biogenesis
category16	gp34
category16	hypothetical protein, potential phage protein
category07	phi:0000277 - type IV secretion system motor; phi:0000271 - intercellular transfer by conjugation
category16	hypothetical protein YPMT1.16c
category16	gp36
category16	gp95
category16	ORF182
category01	putative integration host factor
category16	l19
category16	major structural protein
category16	mono-ADP-ribosyltransferase C3 precursor
category16	protein of unknown function DUF475
category06	histidyl-tRNA synthetase
category04	go:0005215 - transporter activity; phi:0000227 - type I secretion membrane fusion protein activity
category01	go:0048476 - Holliday junction resolvase complex; go:0004530 - deoxyribonuclease I activity
category16	gp177
category16	Gp48
category16	ORF165
category16	kil
category16	response regulator receiver protein
category16	TIR
category16	e13
category16	ClpP
category16	gp37
category16	alpha-L-rhamnosidase
category16	Hxr
category16	gp183
category16	gp62
category16	glutathionylspermidine synthase
category10	phi:0000048 - negative transcriptional regulation of phage gene expression; phi:0000027 - regulation of phage replication; go:0003700 - transcription factor activity
category16	AbiQ-like protein
category16	ORF107
category16	Uhr
category16	PcfL
category16	17
category16	SH3, type 3 domain protein
category16	phosphoribosylformylglycinamidine synthase, purS
category16	putative aminopeptidase
category16	sortase family protein
category16	internal virion protein B
category16	gp8 baseplate wedge subunit
category16	probable arylamine N-acetyltransferase protein
category16	Gp7
category09	putative head-tail joining protein
category16	phospho-N-acetylmuramoyl-pentapeptide- transferase
category16	unknown phage protein
category16	putative Polysaccharide deacetylase domain protein
category16	PmgL
category16	Gp18 protein
category16	chromosome segregation ATPase
category16	putative Tn916 ORF17 protein
category16	Phage related protein
category10	possible transcriptional regulator, MerR family
category16	ORF199
category16	hypothetical protein ORF051
category16	GDSL family lipase
category16	CoxD
category16	35
category16	hypothetical protein YPMT1.86c
category16	NG,NG-dimethylarginine dimethylaminohydrolase, putative
category16	66 kDa protein
category16	go:0047840 - dCTP diphosphatase activity
category16	ORF B494
category01	Tn7-like transposition protein
category06	putative methionyl-tRNA formyltransferase
category16	RuvC
category16	Afp7
category16	gp47, conserved hypothetical protein
category16	Plasmid maintenance system killer protein
category16	copper-binding protein
category16	putative exonuclease
category10	phage related transcriptional regulator
category16	Protein of unknown function DUF11
category16	filamentation induced by cAMP protein Fic
category07	Zn-dependent protease with chaperone function
category16	H+/gluconate symporter and related permease-like protein
category16	putative small terminase subunit
category09	gp38 distal long tail fiber assembly catalyst
category16	hypotheical protein
category16	PmgN
category16	gp220
category16	ORF080
category16	Orf-129
category16	gp7 baseplate wedge initiator
category16	Ho1
category16	hypothetical protein YPMT1.17c
category04	AbgT putative transporter
category16	putative phage-related lipoprotein
category16	putative membrane protein, slightly similar to carrier proteins
category16	hypothetical protein YPMT1.55c
category16	TPR repeat
category16	gp71
category16	ORF348; homologous to eryA gene product in L07626
category16	non-ribosomal peptide synthetase
category16	N-acetylglucosamine-6-phosphate deacetylase
category16	hypothetical protein YPMT1.47c
category16	probable membrane associated restriction endonuclease (mrr-tye)
category16	hypothetical protein YPMT1.19c
category16	gp60
category08	phi:0000372 - phage lytic cycle; go:0016563 - transcription activator activity; phi:0000049 - positive transcriptional regulation of phage gene expression
category08	phi:0000372 - phage lytic cycle; phi:0000049 - positive transcriptional regulation of phage gene expression
category08	phi:0000372 - phage lytic cycle; phi:0000049 - positive transcriptional regulation of phage gene expression; go:0016563 - transcription activator activity
category16	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases
category16	putative transmembrane CrtK/TspO-family sensor protein
category16	PrgT
category16	Major facilitator superfamily MFS_1
category16	RNaseH ribonuclease
category04	go:0046028 - electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity
category16	go:0005507 - copper ion binding
category16	Orf3
category16	hypothetical protein YPMT1.15c
category16	ferredoxin-dependent glutamate synthase
category16	MobD.6 hypothetical protein
category16	Gp9 protein
category16	Bcep22gp59
category16	truncated nonfunctional Cif
category16	go:0008955 - peptidoglycan glycosyltransferase activity
category16	type III effector HopO1-1
category16	gp171
category09	hypothetical tail chaperonin
category16	teicoplanin resistance protein
category16	chromosome assembly protein
category16	rb106
category16	Mte8-like protein
category16	amidase
category16	RNAP2
category16	serotype-specific glucosyl transferase
category16	Gp28
category16	gp51
category16	carbonate dehydratase
category16	Saccharopine dehydrogenase
category16	gp4 head completion protein
category16	hypothetical protein ORF063
category16	MobC, Bacterial mobilisation protein (MobC)
category16	go:0015473 - fimbrial usher porin activity
category16	gene 19 protein
category16	gp07
category01	Phage integrase family domain protein
category16	Galactose mutarotase related enzyme
category16	ORF55
category16	ORF131
category16	gp20
category16	protein kinase
category16	Solo B3/4 domain (OB-fold DNA/RNA-binding) of Phe-aaRS-beta
category16	Gp61
category12	exfoliative toxin A
category16	shikimate kinase
category16	LlaDCHIC
category04	putative phosphotransferase/anion transport protein
category16	transglycosylase, SLT family
category16	gp172
category16	polysaccharide biosynthesis protein
category16	ORF060
category16	Orf32
category16	Gp46
category16	PrgE
category16	putative glycosyl transferase
category16	hyaluronoglucosaminidase
category16	e3
category07	chaperone/ATP-dependent lon protease
category16	gp2 DNA end protector protein
category16	conserved hypothetical protein ORF026
category16	phosphoserine aminotransferase
category04	ABC-type transport protein uup homolog
category16	polyphosphate kinase
category16	ORF082
category16	protein of unknown function DUF88
category16	gp56
category16	dUTP diphosphatase
category16	putative peptidase
category16	gp01
category09	tail adsorption protein
category16	maf protein
category16	methylglyoxal synthase
category16	phi:0000320 - lantibiotic biosynthesis
category16	gp15 E
category16	Eac
category16	16
category16	6
category16	ParB
category16	Gp49
category16	putative GTPase EngC precursor
category16	RepA
category16	PmgV
category16	gp247
category16	Aac(3)-Ia
category16	constituent protein
category10	putative transcriptional regulator, AbrB family
category16	Orf45
category16	gp51 baseplate hub assembly catalyst
category16	22
category16	2-nitropropane dioxygenase, NPD
category16	Gp55
category16	hypothetical protein YPMT1.13c
category16	gp55
category16	chromosomal replication initiator DnaA domain-containing protein
category12	Cytolethal distending toxin B subunit
category16	gp59 loader of gp41 DNA helicase
category16	mycinamicin resistance protein homolog MyrA
category10	phi:0000184 - transcription factor activity; phi:0000363 - regulation of plasmid gene expression
category16	gp10
category16	Rhodanese domain protein
category16	Exopolysaccharide biosynthesis protein
category16	putative dUTPase
category16	ORF087
category16	single-stranded DNA-binding protein
category16	TciB
category04	probable sugar transporter
category16	gene 68 protein
category16	gp166
category16	ribonuclease, Rne/Rng family
category16	e8
category16	30 kDa protein
category10	ps3 protein 14-like transcriptional regulator
category16	Orf5
category16	gp72
category16	Gifsy-1 prophage protein
category16	ORF180
category04	go:0015562 - efflux transmembrane transporter activity; go:0010038 - response to metal ion
category09	putative tail protein
category16	2-dehydropantoate 2-reductase
category10	putative transcription regulator
category16	membrane protein for nodulation competitiveness
category16	amylo-alpha-1,6-glucosidase
category09	gp15 tail sheath stabilizer and completion protein
category16	gp58
category16	gp122
category16	signal transduction histidine kinase
category16	probable glycosyltransferase
category16	HDIG domain-containing protein
category16	LydD
category16	67 kDa myosin-cross-reactive antigen family protein
category16	low copy number virion structural protein
category16	carboxysome structural peptide CsoS1B
category16	CinA-like
category02	phi:0000026 - phage DNA replication; go:0006260 - DNA replication
category16	gp119
category16	ORF040
category07	molecular chaperone, DnaJ family
category16	ORF2
category16	go:0009055 - electron carrier activity; go:0009399 - nitrogen fixation
category16	gp62 clamp-loader subunit
category16	antirepressor AntA
category16	putative protein Rgg
category16	gp22 prohead core scaffold protein
category16	Y4bN
category16	PcfM
category16	terminase small subunit
category16	Xylose isomerase domain protein TIM barrel
category16	aclame:577 - plasmid partitioning protein family ParR; go:0016887 - ATPase activity
category16	gp32 single-stranded DNA binding protein
category10	transcription regulator
category09	gp35 hinge connector of long tail fiber, proximal connector
category16	gene 42 protein
category04	go:0015716 - phosphonate transport
category16	gp97
category16	Gp32
category16	gp06
category16	Orf12
category16	BcepNY3gp66
category16	ATPase, BadF/BadG/BcrA/BcrD type
category16	putative
category16	phosphoenolpyruvate synthase
category07	Molecular chaperone HSP90 family-like protein
category09	putative short tail fibre
category16	ORF071
category16	SieA
category16	ORF128
category12	Cytolethal distending toxin A subunit
category16	OspG
category01	putative phage resolvase/integrase (partial)
category16	TatD-related deoxyribonuclease
category16	NADH-quinone oxidoreductase, B subunit
category16	protein of unknown function DUF1016
category16	ORF032
category16	gp127
category16	50S ribosomal protein L9
category16	Gp53
category16	putative NDP-4,6-dideoxyhexose 3,4-enoyl reductase
category16	Gp56
category16	gene 6.5 protein
category16	putative fatty acid beta hydroxylase (cytochrome P450)
category16	gene 38 protein
category16	putative holliday junction resolvase
category16	galactokinase
category16	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
category16	putative exodeoxyribonuclease
category16	ORF120
category16	thioredoxin
category16	N-acetylmuramoyl-L-alanine amidase
category16	go:0019835 - cytolysis
category16	protein of unknown function UPF0157
category16	HmcB
category16	gene 49 protein
category16	protein of unknown function DUF488
category16	ORF118
category16	peptidase C45 acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
category16	ribosomal protein S13
category16	S-adenosyl-methyltransferase MraW
category16	flagellar motor protein
category16	Vs.4 conserved hypothetical protein
category16	Alkaline phosphatase
category16	putative protein 20
category16	oligoendopeptidase F
category16	BcepGomrgp75
category01	phi:0000136 - transpositional DNA recombination; aclame:function:555 - IS3 family; phi:0000153 - DDE-based recombinase activity
category16	Uncharacterized, ortholog of YgaT gene of B.subtillis
category16	HEPN domain-containing protein
category16	putative beta-mannosidase
category16	gene 6 protein
category16	portal protein
category16	ORF129
category16	DNA-binding protein HU, putative
category16	peptidase E
category16	formyltetrahydrofolate synthetase
category16	putative tellurium resistance protein
category16	dihydroorotate dehydrogenase 2
category16	ORF260
category16	PROBABLE RESPIRATORY NITRATE REDUCTASE ALPHA CHAIN OXIDOREDUCTASE PROTEIN
category16	cytosolic long-chain acyl-CoA thioester hydrolase protein
category16	PROBABLE FLAGELLAR M-RING TRANSMEMBRANE PROTEIN
category16	ea47
category16	PROBABLE LIPOPROTEIN
category16	ORF099
category16	putative Homoserine kinase
category16	gp15, conserved hypothetical protein
category16	Tk.2 conserved hypothetical protein
category16	ORF077
category16	putative intracellular protease
category16	EaI
category16	major virion structural protein
category16	shikimate 5-dehydrogenase
category16	flavoprotein WrbA
category16	Gp7 protein
category16	gp094
category16	phytoene dehydrogenase
category16	conserved hypothetical lipoprotein
category16	ORF152
category16	phi:0000163 - inhibitor of RecBCD nuclease; phi:0000335 - phage mediated modulation of host functions
category16	gp48
category16	heat shock protein GrpE
category16	gp15' E'
category12	go:0015643 - toxin binding; phi:0000322 - post-segregational killing; aclame:function:547 - TA family parDE
category16	hypothetical minor outer capsid protein
category16	Eag
category16	RB69ORF040c hypothetical protein
category10	phi:0000041 - regulation of phage gene expression; go:0003700 - transcription factor activity
category16	putative membrane-anchored protein, slightly similar to UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
category16	gp14 neck protein
category16	gp86
category16	putative pathogenicity island protein
category16	ORF088
category16	phosphoribulokinase
category16	Bbp31
category16	ORF3
category16	nucleotidyltransferase domain protein, (pxo1-33)
category16	ORF-13
category16	positive regulator of sigma E, RseC/MucC
category16	hypothetical cytosolic protein
category16	10
category16	ORF029
category16	required for plasmid stability
category16	putative DNA maturase A
category16	fructose-bisphosphate aldolase
category16	ORF019
category16	hypothetical Cytosolic Protein
category09	gp19 tail tube protein
category16	gp13 neck protein
category16	putative protein, similar to esterase
category12	Cytolethal distending toxin C subunit
category16	putative HAD hydrolase
category16	prophage ps1 protein 22
category16	18
category16	major head protein precursor
category16	hypothetical protein containing helix-turn-helix motif
category16	putative sugar nucleotide oxidoreductaseepimerase protein
category16	34
category16	ORF065
category16	hypothetical protein ORF043
category16	protein tyrosine/serine phosphatase
category10	transcriptional regulator, LuxR family
category16	ORF102
category16	ea8.5
category16	phi:0000354 - genome segregation
category09	Phage head-tail joining protein
category16	PTS system, IIC component
category16	putative scaffolding protein
category16	putative esterase or acylase protein
category16	AzlC-like
category16	ORF030
category16	Hypothetical membrane spanning protein
category16	hypothetical protein ORF034
category16	PcfU
category16	TraD
category16	kinase-like protein
category16	arginine deiminase
category16	16.5 kDa protein
category16	GtrA-like protein
category16	gp45 sliding clamp, DNA polymerase accessory protein
category01	aclame:function:500 - IS5 family
category16	Gp57
category16	glucose-6-phosphate isomerase
category16	ORF026
category16	N-acetylmuramoyl-L-alanine amidase, putative
category16	putative pilus biogenesis-like protein
category16	antirestriction protein
category16	39
category16	oxidoreductase, putative
category16	Methenyltetrahydrofolate cyclohydrolase
category16	NinY
category16	protein of unknown function DUF477
category16	gp38
category16	Beta-galactosidase
category16	hypothetical protein YPMT1.34A
category16	internal virion protein A
category16	Curculin domain protein (mannose-binding) lectin
category16	TumA
category16	OmpA/MotB domain protein
category16	hypothetical protein ORF005
category16	ToxR-regulated lipoprotein
category16	CoxC
category16	FAD dependent oxidoreductase
category16	ORF042
category16	coenzyme F390 synthetase-like protein
category16	aminodeoxychorismate lyase
category16	gp135
category16	Gp40
category16	putative large secreted protein
category16	putative glutaredoxin
category16	putative protein 1
category16	protein of unknown function DUF188
category16	Gp45 protein
category16	Inh inhibitor of prohead protease gp21
category16	gp75
category16	4.5 protein
category09	tail fiber protein, putative
category16	ORF055
category02	phi:0000026 - phage DNA replication; go:0003697 - single-stranded DNA binding
category16	Gp22
category16	PTS system, maltose and glucose-specific IIABC component
category16	aerobic NDP reductase small subunit NrdB
category16	terminase
category16	possible glycosyltransferase family 2
category10	go:0030401 - transcription antiterminator activity
category16	DNA packaging protein A
category16	Gp41 protein
category16	Capsule polysaccharide biosynthesis protein
category16	1.6 protein
category16	1.05 protein
category16	gene 20 protein
category16	41
category16	RNAP1
category16	ORF176
category16	hypothetical protein ORF052
category16	phi:0000156 - relaxosome
category16	BcepGomrgp18
category16	gene 46 protein
category16	Gp23
category09	putative tail tube associated base plate protein, gp48
category16	CRISPR-associated protein Cas4
category16	Ribulose-phosphate 3-epimerase
category16	gp126
category16	YgeA
category16	PUTATIVE SIGNAL PEPTIDE PROTEIN
category16	ORF123
category16	putative baseplate protein
category16	possible sigma factor, includes region 4
category16	Icd
category16	Orf22
category16	Fructose-6-phosphate phosphoketolase
category16	ORF139
category16	hypothetical protein ORF077
category09	gp48 baseplate tail tube cap
category16	possible thioesterase
category16	gp53 baseplate wedge subunit
category16	conserved hypothetical protein 698
category09	gp3 tail completion and sheath stabilizer protein
category16	Orf-101
category01	aclame:function:514 - IS892 family; phi:0000153 - DDE-based recombinase activity; phi:0000136 - transpositional DNA recombination
category16	phi:0000334 - plasmid mediated phage exclusion
category16	myo-inositol catabolism IolB protein
category16	go:0016163 - nitrogenase activity
category16	mobile intron protein
category16	ORF092
category16	phi:0000355 - phage entry exclusion
category16	15
category16	DenB.1 hypothetical protein
category16	BcepGomrgp28
category16	transglutaminase-like cysteine peptidase, BTLCP
category16	PfWMP3_17
category16	nrdC.11-like protein
category16	gp27 baseplate hub subunit
category16	ORF6a
category16	PROBABLE PERIPLASMIC ALPHA,ALPHA-TREHALASE SIGNAL PEPTIDE PROTEIN
category16	DNA binding domain, excisionase family
category09	Phage tail protein
category16	go:0004497 - monooxygenase activity
category16	gp217
category07	phi:0000284 - type IV secretion system bridging component; phi:0000271 - intercellular transfer by conjugation; aclame:572 - Type IV secretion complex VirB10 family
category08	phi:0000346 - Rz1-type spanin component; phi:0000013 - phage release by lysis
category04	ABC transport system regulatory protein (probable substrate phosphate) 2.1
category09	gp54 baseplate tail tube initiator
category16	transglutaminase domain-containing protein
category16	go:0003824 - catalytic activity
category16	ORF175
category16	go:0046677 - response to antibiotic; go:0016772 - transferase activity, transferring phosphorus-containing groups
category16	PROBABLE 6-PHOSPHOGLUCONOLACTONASE OXIDOREDUCTASE PROTEIN
category16	Carbon starvation protein, predicted membrane protein
category16	RB69ORF046c hypothetical protein
category16	ORF090
category16	3-phosphoglycerate kinase
category16	Deoxyribonuclease I
category16	ORF067
category16	RB69ORF033c hypothetical protein
category16	protein of unknown function DUF690
category16	possible NADH oxidase
category16	ORF157
category16	hypothetical protein ORF065
category16	putative proline iminopeptidase
category16	gp02
category16	putative ggdef family protein
category16	copper resistance B precursor
category16	apolipoprotein N-acyltransferase
category16	Putative deoxyribonucleoside kinase
category16	VanX protein
category16	ORF039
category09	phage tail fiber-like protein
category16	NgrC
category16	e23
category16	ORF149
category16	cobalamin biosynthesis protein CobD, putative
category16	putative acetyltransferase
category16	ORF083
category16	ORF017
category16	PROBABLE EXOGLUCANASE A (1,4-BETA-CELLOBIOSIDASE) PROTEIN
category16	iron (metal) dependent repressor, DtxR family
category16	acetate kinase
category16	hypothetical protein ORF041
category16	hypothetical protein ORF054
category16	ORF147
category16	ORF30
category16	lipoate-protein ligase B
category16	Pas23
category16	periplasmic nitrate (or nitrite) reductase c-type cytochrome, NapC/NirT family
category09	gp11 baseplate wedge subunit and tail pin
category16	14.5 kDa protein
category16	hypothetical protein ORF008
category16	15.5
category16	gp57B conserved hypothetical protein
category16	RegA
category16	Gp44
category16	S-adenosyl-L-methionine hydrolase
category16	Gp40 protein
category16	Imm
category16	gp124
category16	gene 17 protein
category16	e19
category16	N-acetylmannosamine-6-phosphate 2-epimerase
category16	phi:0000335 - phage mediated modulation of host functions; phi:0000167 - inhibitor of FtsH protease activity
category16	PTS system, mannose-specific IIAB component
category16	Srd postulated decoy of host sigma70 or sigmaS
category16	DBP
category12	phi:0000322 - post-segregational killing; phi:0000262 - toxin; aclame:function:550 - TA family vapBC/vag
category16	ORF066
category16	Gp19
category16	Arn.3 conserved hypothetical protein
category16	methyltransferase nodulation protein
category16	RecA regulator RecX
category16	PeiW
category01	DNA recombination protein RuvA, domain I
category16	peptidyl-prolyl cis-trans isomerase, FKBP-type
category16	phage protein, HK97 gp10 family
category16	Orf-69
category16	hypothetical gene
category16	putative cytidine deaminase
category16	28
category16	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
category16	conserved hypothetical protein TIGR00043
category16	protein of unknown function DUF344
category16	Acetyltransferase, GNAT family
category16	glycosyltransferase family 1
category16	gene 5A product
category16	microcin immunity protein MccF-like protein
category16	25
category16	gp68 prohead core protein
category10	transcriptional regulator, MarR family protein
category16	Gp8 protein
category16	AAA ATPase, central region
category16	gp228
category16	protein gp30
category16	levansucrase
category16	11
category16	ORF159
category16	peptide methionine sulfoxide reductase domain-containing protein
category16	10.5
category16	hypothetical membrane spanning protein
category04	RnfA-Nqr electron transport subunit
category16	ORF027
category16	MotB.2 hypothetical protein
category16	putative mobilization protein
category16	e32
category16	gp30.2 conserved hypothetical protein
category16	protein of unknown function DUF214
category16	hypothetical protein YPMT1.54
category07	gp40 head vertex assembly chaperone
category16	go:0019634 - phosphonate metabolic process
category16	a-gt.4 conserved hypothetical protein
category16	aspartate 1-decarboxylase
category16	CIII protein
category16	HYPOTHETICAL SIGNAL PEPTIDE PROTEIN
category09	minor tail protein, putative
category10	phi:0000036 - phage class II gene transcription
category10	Cro/CI family transcriptional regulator
category16	DNA packaging ATPase
category16	26
category16	e2
category07	phi:0000271 - intercellular transfer by conjugation; phi:0000284 - type IV secretion system bridging component
category16	putative avirulence protein
category16	gp192
category16	Gp55 protein
category16	ORF140
category16	Peptidoglycan-binding domain 1
category16	putative oxidoreductase subunit
category16	ORF161
category16	PseT.2 conserved hypothetical protein
category16	160 kDa protein
category16	PUTATIVE TRANSFERASE PROTEIN
category16	PseT.3 conserved hypothetical predicted membrane protein
category16	TerS
category16	similar to a conserved hypotheical protein of Vibrio cholerae
category16	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
category16	ORF054
category04	cobalt transport protein
category06	YbaK/prolyl-tRNA synthetase domain-containing protein
category16	ORF 205
category16	gp101
category16	glycosyl transferase, family 2
category10	putative prophage transcriptional repressor
category07	related to chaperone protein DnaJ (partial length)
category16	UvsY.-1 conserved hypothetical protein
category16	Dhr
category16	Orf14
category16	putative antirepressor
category16	Cupin 2, conserved barrel domain protein
category16	2
category16	ORF062
category16	hol
category07	phi:0000271 - intercellular transfer by conjugation; phi:0000273 - pilin
category07	phi:0000273 - pilin; phi:0000271 - intercellular transfer by conjugation
category07	phi:0000275 - type IV secretion system pilin; phi:0000271 - intercellular transfer by conjugation; phi:0000263 - type IV protein secretion/mating pair formation system complex; aclame:564 - Type IV secretion complex VirB2 family
category16	phthalate 3,4-dioxygenase ferredoxin subunit
category16	DNA-biding phage protein
category16	ORF006
category09	gp57A chaperone for tail fiber formation
category16	ORF101
category16	gp55.2 conserved hypothetical protein
category16	8
category16	orf25
category16	ORF068
category16	ORF069
category16	Orf25
category16	ORF098
category16	a-gt.5 conserved hypothetical protein
category04	molybdenum ABC transporter, periplasmic molybdate-binding protein
category16	peptidase M48, Ste24p
category16	FAD-dependent pyridine nucleotide-disulphide oxidoreductase
category16	Galactose 6-phosphate isomerase
category16	phenazine biosynthesis protein, PhzF family
category16	excisionase family DNA-binding protein
category16	endo-beta-1,3-1,4-glycanase protein
category16	RecB family exonuclease
category16	flavin reductase-like, FMN-binding
category16	hypothetical protein ORF044
category16	UvsY.-2 conserved hypothetical protein
category16	gene 0.6 protein
category16	BcepGomrgp01
category16	phosphoribosylaminoimidazole carboxylase, ATPase subunit
category16	ORF084
category16	possible nucleotidyltransferase
category16	putative ATP-binding protein
category16	gp24.3 conserved hypothetical protein
category16	ORF070
category16	ORF130
category16	ORF164
category16	ORF089
category16	gp39.1 hypothetical protein
category16	hypothetical protein ORF007
category16	NrdC.10 conserved hypothetical protein
category16	RB43ORF060w hypothetical protein
category16	go:0009405 - pathogenesis; phi:0000199 - hyaluronidase activity
category16	phi:0000199 - hyaluronidase activity; go:0009405 - pathogenesis
category16	Competence protein-like
category16	ORF50
category16	DsbA
category16	gp39.2 conserved hypothetical protein
category16	ORF028
category16	ORF052
category16	putative glycerol-3-phosphate dehydrogenase (NAD(P)+) protein
category16	gp45.2 conserved hypothetical protein
category16	putative DNA topoisomerase I protein
category16	hypothetical protein ORF006
category16	go:0017076 - purine nucleotide binding
category16	gp092
category16	fimbria-associated protein
category16	Pyrrolo-quinoline quinone
category16	Gp48 protein
category16	GltA
category16	gp214
category09	head-tail joining protein Lambda W
category16	Gp34
category16	gp28 baseplate hub distal subunit
category16	hypothetical protein ORF050
category16	srb protein
category16	putative RecA regulator
category16	putative zinc-binding dehydrogenase
category16	Gp15
category16	Orf20
category16	ORF059
category16	gp202
category16	ORF135
category16	gp11, conserved hypothetical protein
category16	hypothetical protein ORF019
category16	PHP-like
category16	ORF091
category16	Gp44 protein
category16	gp47
category16	putative Rhodanese-like domain protein
category16	Type I specificity subunit-related protein
category16	Tnp1249a
category16	hypothetical protein ORF046
category16	hypothetical protein ORF022
category04	glycine betaine transporter
category16	Putative type II restriction enzyme
category16	putative Srd anti-sigma factor
category16	ORF24
category16	hypothetical protein ORF012
category16	go:0016879 - ligase activity, forming carbon-nitrogen bonds
category16	Helix-turn-helix motif
category16	putative cyclopropane fatty acid synthase
category16	putative glutaredoxin family protein/Thio-disulfide isomerase
category16	ribosomal protein L11 methyltransferase
category16	glycosidase, PH1107-related
category16	putative orotidine 5'-phosphate decarboxylase
category16	rI lysis inhibition regulator, membrane protein
category16	hypothetical protein ORF031
category16	HI0933 family protein
category16	gp66
category16	hypothetical protein ORF010
category01	putative recombination protein
category10	phi:0000044 - transcriptional-regulation of phage gene expression; go:0003700 - transcription factor activity
