Family	ACLAME.Function.s.
family:all:24455	HEPN domain-containing protein
family:all:24454	unknown
family:all:24453	unknown
family:all:24452	unknown
family:all:24451	unknown
family:all:24450	unknown
family:all:2445	go:0004530 - deoxyribonuclease I activity
family:all:24449	unknown
family:all:24448	unknown
family:all:24447	unknown
family:all:24446	unknown
family:all:24445	unknown
family:all:24444	phage head-tail adaptor protein
family:all:24443	unknown
family:all:24442	unknown
family:all:24441	unknown
family:all:24440	unknown
family:all:2444	rI lysis inhibition regulator, membrane protein
family:all:24439	unknown
family:all:24438	unknown
family:all:24437	unknown
family:all:24436	unknown
family:all:24435	unknown
family:all:24434	unknown
family:all:24433	unknown
family:all:24432	unknown
family:all:24431	unknown
family:all:24430	unknown
family:all:2443	RegB site-specific RNA endonuclease
family:all:24429	unknown
family:all:24428	unknown
family:all:24427	unknown
family:all:24426	unknown
family:all:24425	unknown
family:all:24424	unknown
family:all:24423	unknown
family:all:24422	unknown
family:all:24421	unknown
family:all:24420	unknown
family:all:2442	go:0003677 - DNA binding
family:all:24419	unknown
family:all:24418	UDP-N-acetylglucosamine pyrophosphorylase-related protein
family:all:24417	unknown
family:all:24416	unknown
family:all:24415	unknown
family:all:24414	unknown
family:all:24413	unknown
family:all:24412	unknown
family:all:24411	unknown
family:all:24410	unknown
family:all:2441	NrdC.10 conserved hypothetical protein
family:all:24409	unknown
family:all:24408	unknown
family:all:24407	unknown
family:all:24406	phi:0000326 - phage function unknown
family:all:24405	unknown
family:all:24404	unknown
family:all:24403	unknown
family:all:24402	unknown
family:all:24401	unknown
family:all:24400	unknown
family:all:2440	BcepNY3gp66
family:all:244	go:0016740 - transferase activity
family:all:24399	unknown
family:all:24398	unknown
family:all:24397	unknown
family:all:24396	unknown
family:all:24395	unknown
family:all:24394	unknown
family:all:24393	unknown
family:all:24392	unknown
family:all:24391	unknown
family:all:24390	unknown
family:all:2439	core photosystem II reaction center protein
family:all:24389	unknown
family:all:24388	unknown
family:all:24387	unknown
family:all:24386	unknown
family:all:24385	unknown
family:all:24384	unknown
family:all:24383	unknown
family:all:24382	unknown
family:all:24381	unknown
family:all:24380	unknown
family:all:2438	phi:0000326 - phage function unknown
family:all:24379	unknown
family:all:24378	unknown
family:all:24377	unknown
family:all:24376	unknown
family:all:24375	unknown
family:all:24374	putative acyl carrier protein
family:all:24373	unknown
family:all:24372	unknown
family:all:24371	unknown
family:all:24370	unknown
family:all:2437	phi:0000326 - phage function unknown
family:all:24369	unknown
family:all:24368	unknown
family:all:24367	unknown
family:all:24366	unknown
family:all:24365	unknown
family:all:24364	unknown
family:all:24363	unknown
family:all:24362	unknown
family:all:24361	unknown
family:all:24360	unknown
family:all:2436	phi:0000326 - phage function unknown
family:all:24359	unknown
family:all:24358	unknown
family:all:24357	unknown
family:all:24356	unknown
family:all:24355	unknown
family:all:24354	unknown
family:all:24353	unknown
family:all:24352	unknown
family:all:24351	unknown
family:all:24350	unknown
family:all:2435	phi:0000326 - phage function unknown
family:all:24349	unknown
family:all:24348	unknown
family:all:24347	unknown
family:all:24346	unknown
family:all:24345	unknown
family:all:24344	unknown
family:all:24343	unknown
family:all:24342	unknown
family:all:24341	unknown
family:all:24340	unknown
family:all:2434	phi:0000326 - phage function unknown
family:all:24339	unknown
family:all:24338	unknown
family:all:24337	unknown
family:all:24336	unknown
family:all:24335	unknown
family:all:24334	unknown
family:all:24333	unknown
family:all:24332	unknown
family:all:24331	unknown
family:all:24330	unknown
family:all:2433	phi:0000326 - phage function unknown
family:all:24329	unknown
family:all:24328	unknown
family:all:24327	unknown
family:all:24326	unknown
family:all:24325	unknown
family:all:24324	unknown
family:all:24323	unknown
family:all:24322	unknown
family:all:24321	unknown
family:all:24320	unknown
family:all:2432	phi:0000017 - phage prohead/capsid assembly; phi:0000065 - capsid scaffolding protein
family:all:24319	unknown
family:all:24318	unknown
family:all:24317	unknown
family:all:24316	unknown
family:all:24315	unknown
family:all:24314	unknown
family:all:24313	unknown
family:all:24312	unknown
family:all:24311	unknown
family:all:24310	unknown
family:all:2431	phi:0000082 - phage major tail protein
family:all:24309	unknown
family:all:24308	unknown
family:all:24307	unknown
family:all:24306	unknown
family:all:24305	unknown
family:all:24304	phage minor structural protein
family:all:24303	unknown
family:all:24302	unknown
family:all:24301	unknown
family:all:24300	unknown
family:all:2430	phi:0000326 - phage function unknown
family:all:243	go:0016987 - sigma factor activity
family:all:243	phi:0000184 - transcription factor activity
family:all:24299	unknown
family:all:24298	unknown
family:all:24297	unknown
family:all:24296	unknown
family:all:24295	unknown
family:all:24294	unknown
family:all:24293	unknown
family:all:24292	unknown
family:all:24291	unknown
family:all:24290	unknown
family:all:2429	phi:0000326 - phage function unknown
family:all:24289	unknown
family:all:24288	unknown
family:all:24287	unknown
family:all:24286	unknown
family:all:24285	unknown
family:all:24284	unknown
family:all:24283	unknown
family:all:24282	unknown
family:all:24281	unknown
family:all:24280	unknown
family:all:2428	go:0003697 - single-stranded DNA binding
family:all:24279	unknown
family:all:24278	unknown
family:all:24277	unknown
family:all:24276	unknown
family:all:24275	unknown
family:all:24274	unknown
family:all:24273	unknown
family:all:24272	unknown
family:all:24271	unknown
family:all:24270	unknown
family:all:2427	phi:0000326 - phage function unknown
family:all:24269	unknown
family:all:24268	unknown
family:all:24267	unknown
family:all:24266	unknown
family:all:24265	unknown
family:all:24264	unknown
family:all:24263	unknown
family:all:24262	HMG-I and HMG-Y, DNA-binding domain-containing protein
family:all:24261	unknown
family:all:24260	unknown
family:all:2426	phi:0000326 - phage function unknown
family:all:24259	unknown
family:all:24258	unknown
family:all:24257	unknown
family:all:24256	unknown
family:all:24255	unknown
family:all:24254	unknown
family:all:24253	unknown
family:all:24252	unknown
family:all:24251	unknown
family:all:24250	unknown
family:all:2425	phi:0000326 - phage function unknown
family:all:24249	unknown
family:all:24248	unknown
family:all:24247	unknown
family:all:24246	unknown
family:all:24245	unknown
family:all:24244	unknown
family:all:24243	unknown
family:all:24242	unknown
family:all:24241	unknown
family:all:24240	unknown
family:all:2424	phi:0000335 - phage mediated modulation of host functions; phi:0000193 - restriction alleviation
family:all:24239	unknown
family:all:24238	unknown
family:all:24237	unknown
family:all:24236	unknown
family:all:24235	unknown
family:all:24234	unknown
family:all:24233	unknown
family:all:24232	unknown
family:all:24231	putative lipoprotein
family:all:24230	unknown
family:all:2423	phi:0000332 - prophage mediated phage exclusion
family:all:24229	unknown
family:all:24228	unknown
family:all:24227	unknown
family:all:24226	unknown
family:all:24225	unknown
family:all:24224	unknown
family:all:24223	unknown
family:all:24222	unknown
family:all:24221	unknown
family:all:24220	unknown
family:all:2422	phi:0000326 - phage function unknown
family:all:24219	unknown
family:all:24218	unknown
family:all:24217	unknown
family:all:24216	unknown
family:all:24215	unknown
family:all:24214	unknown
family:all:24213	unknown
family:all:24212	unknown
family:all:24211	unknown
family:all:24210	unknown
family:all:2421	phi:0000326 - phage function unknown
family:all:24209	unknown
family:all:24208	unknown
family:all:24207	unknown
family:all:24206	unknown
family:all:24205	unknown
family:all:24204	unknown
family:all:24203	unknown
family:all:24202	unknown
family:all:24201	unknown
family:all:24200	unknown
family:all:2420	phi:0000326 - phage function unknown
family:all:242	go:0051213 - dioxygenase activity
family:all:24199	unknown
family:all:24198	unknown
family:all:24197	unknown
family:all:24196	unknown
family:all:24195	unknown
family:all:24194	unknown
family:all:24193	unknown
family:all:24192	unknown
family:all:24191	unknown
family:all:24190	unknown
family:all:2419	phi:0000326 - phage function unknown
family:all:24189	unknown
family:all:24188	unknown
family:all:24187	unknown
family:all:24186	DNA-binding protein HU, putative
family:all:24185	unknown
family:all:24184	unknown
family:all:24183	unknown
family:all:24182	unknown
family:all:24181	unknown
family:all:24180	unknown
family:all:2418	phi:0000326 - phage function unknown
family:all:24179	unknown
family:all:24178	unknown
family:all:24177	unknown
family:all:24176	unknown
family:all:24175	unknown
family:all:24174	unknown
family:all:24173	unknown
family:all:24172	unknown
family:all:24171	unknown
family:all:24170	unknown
family:all:2417	phi:0000326 - phage function unknown
family:all:24169	unknown
family:all:24168	unknown
family:all:24167	unknown
family:all:24166	unknown
family:all:24165	unknown
family:all:24164	unknown
family:all:24163	unknown
family:all:24162	Mte8-like protein
family:all:24161	gp40-related protein
family:all:24160	unknown
family:all:2416	phi:0000326 - phage function unknown
family:all:24159	splicing coactivator subunit-like protein
family:all:24158	unknown
family:all:24157	unknown
family:all:24156	unknown
family:all:24155	unknown
family:all:24154	unknown
family:all:24153	unknown
family:all:24152	unknown
family:all:24151	unknown
family:all:24150	unknown
family:all:2415	phi:0000044 - transcriptional-regulation of phage gene expression
family:all:24149	unknown
family:all:24148	unknown
family:all:24147	unknown
family:all:24146	unknown
family:all:24145	unknown
family:all:24144	unknown
family:all:24143	unknown
family:all:24142	unknown
family:all:24141	unknown
family:all:24140	unknown
family:all:2414	phi:0000326 - phage function unknown
family:all:24139	unknown
family:all:24138	unknown
family:all:24137	unknown
family:all:24136	unknown
family:all:24135	unknown
family:all:24134	unknown
family:all:24133	unknown
family:all:24132	unknown
family:all:24131	unknown
family:all:24130	unknown
family:all:2413	phi:0000326 - phage function unknown
family:all:24129	unknown
family:all:24128	unknown
family:all:24127	unknown
family:all:24126	unknown
family:all:24125	unknown
family:all:24124	phi:0000044 - transcriptional-regulation of phage gene expression; phi:0000002 - phage infectious cycle
family:all:24123	unknown
family:all:24122	unknown
family:all:24121	unknown
family:all:24120	unknown
family:all:2412	phi:0000326 - phage function unknown
family:all:24119	unknown
family:all:24118	unknown
family:all:24117	unknown
family:all:24116	unknown
family:all:24115	unknown
family:all:24114	unknown
family:all:24113	unknown
family:all:24112	unknown
family:all:24111	unknown
family:all:24110	unknown
family:all:2411	phi:0000326 - phage function unknown
family:all:24109	unknown
family:all:24108	unknown
family:all:24107	unknown
family:all:24106	unknown
family:all:24105	unknown
family:all:24104	unknown
family:all:24103	unknown
family:all:24102	unknown
family:all:24101	unknown
family:all:24100	unknown
family:all:2410	phi:0000326 - phage function unknown
family:all:241	phi:0000326 - phage function unknown
family:all:24099	unknown
family:all:24098	unknown
family:all:24097	phi:0000326 - phage function unknown
family:all:24096	unknown
family:all:24095	unknown
family:all:24094	unknown
family:all:24093	unknown
family:all:24092	phi:0000013 - phage release by lysis; phi:0000342 - spanin
family:all:24091	unknown
family:all:24090	unknown
family:all:2409	phi:0000326 - phage function unknown
family:all:24089	unknown
family:all:24088	unknown
family:all:24087	unknown
family:all:24086	unknown
family:all:24085	unknown
family:all:24084	unknown
family:all:24083	unknown
family:all:24082	unknown
family:all:24081	unknown
family:all:24080	unknown
family:all:2408	phi:0000326 - phage function unknown
family:all:24079	unknown
family:all:24078	unknown
family:all:24077	unknown
family:all:24076	unknown
family:all:24075	unknown
family:all:24074	unknown
family:all:24073	unknown
family:all:24072	unknown
family:all:24071	unknown
family:all:24070	unknown
family:all:2407	phi:0000326 - phage function unknown
family:all:24069	putative prophage encoded two-component system response regulator
family:all:24068	putative cytoplasmic protein
family:all:24067	aclame:function:509 - IS256 family; phi:0000153 - DDE-based recombinase activity; phi:0000136 - transpositional DNA recombination
family:all:24066	unknown
family:all:24065	unknown
family:all:24064	unknown
family:all:24063	unknown
family:all:24062	unknown
family:all:24061	unknown
family:all:24060	unknown
family:all:2406	phi:0000326 - phage function unknown
family:all:24059	unknown
family:all:24058	unknown
family:all:24057	unknown
family:all:24056	unknown
family:all:24055	unknown
family:all:24054	unknown
family:all:24053	unknown
family:all:24052	unknown
family:all:24051	unknown
family:all:24050	unknown
family:all:2405	phi:0000326 - phage function unknown
family:all:24049	unknown
family:all:24048	unknown
family:all:24047	unknown
family:all:24046	unknown
family:all:24045	putative lipoprotein
family:all:24044	helix-turn-helix domain-containing protein
family:all:24043	unknown
family:all:24042	unknown
family:all:24041	unknown
family:all:24040	unknown
family:all:2404	phi:0000326 - phage function unknown
family:all:24039	unknown
family:all:24038	unknown
family:all:24037	unknown
family:all:24036	unknown
family:all:24035	unknown
family:all:24034	unknown
family:all:24033	unknown
family:all:24032	unknown
family:all:24031	unknown
family:all:24030	unknown
family:all:2403	phi:0000326 - phage function unknown
family:all:24029	unknown
family:all:24028	XRE family transcriptional regulator
family:all:24027	unknown
family:all:24026	unknown
family:all:24025	unknown
family:all:24024	unknown
family:all:24023	unknown
family:all:24022	unknown
family:all:24021	unknown
family:all:24020	unknown
family:all:2402	phi:0000326 - phage function unknown
family:all:24019	unknown
family:all:24018	unknown
family:all:24017	unknown
family:all:24016	LvrA
family:all:24015	unknown
family:all:24014	unknown
family:all:24013	unknown
family:all:24012	unknown
family:all:24011	unknown
family:all:24010	unknown
family:all:2401	phi:0000326 - phage function unknown
family:all:24009	phi:0000326 - phage function unknown
family:all:24008	phi:0000326 - phage function unknown
family:all:24007	unknown
family:all:24006	unknown
family:all:24005	putative phage-encoded membrane protein
family:all:24004	unknown
family:all:24003	unknown
family:all:24002	unknown
family:all:24001	unknown
family:all:24000	Imm
family:all:2400	phi:0000326 - phage function unknown
family:all:240	phi:0000017 - phage prohead/capsid assembly; phi:0000065 - capsid scaffolding protein
family:all:24	aclame:function:503 - Tn3 family; phi:0000153 - DDE-based recombinase activity; phi:0000136 - transpositional DNA recombination
family:all:23999	unknown
family:all:23998	unknown
family:all:23997	putative transcriptional regulator
family:all:23996	unknown
family:all:23995	peptide methionine sulfoxide reductase domain-containing protein
family:all:23994	unknown
family:all:23993	unknown
family:all:23992	unknown
family:all:23991	unknown
family:all:23990	SecC motif-containing protein
family:all:2399	phi:0000326 - phage function unknown
family:all:23989	unknown
family:all:23988	unknown
family:all:23987	unknown
family:all:23986	unknown
family:all:23985	unknown
family:all:23984	unknown
family:all:23983	unknown
family:all:23982	unknown
family:all:23981	unknown
family:all:23980	unknown
family:all:2398	phi:0000326 - phage function unknown
family:all:23979	unknown
family:all:23978	unknown
family:all:23977	unknown
family:all:23976	unknown
family:all:23975	unknown
family:all:23974	unknown
family:all:23973	unknown
family:all:23972	unknown
family:all:23971	unknown
family:all:23970	unknown
family:all:2397	phi:0000326 - phage function unknown
family:all:23969	unknown
family:all:23968	unknown
family:all:23967	unknown
family:all:23966	unknown
family:all:23965	unknown
family:all:23964	unknown
family:all:23963	unknown
family:all:23962	go:0006270 - DNA replication initiation; phi:0000026 - phage DNA replication; go:0003677 - DNA binding
family:all:23961	unknown
family:all:23960	unknown
family:all:2396	phi:0000326 - phage function unknown
family:all:23959	unknown
family:all:23958	unknown
family:all:23957	unknown
family:all:23956	unknown
family:all:23955	unknown
family:all:23954	unknown
family:all:23953	unknown
family:all:23952	unknown
family:all:23951	unknown
family:all:23950	unknown
family:all:2395	phi:0000326 - phage function unknown
family:all:23949	unknown
family:all:23948	unknown
family:all:23947	unknown
family:all:23946	unknown
family:all:23945	unknown
family:all:23944	excisionase family DNA-binding protein
family:all:23943	unknown
family:all:23942	DNA-binding protein
family:all:23941	unknown
family:all:23940	unknown
family:all:2394	phi:0000326 - phage function unknown
family:all:23939	unknown
family:all:23938	unknown
family:all:23937	unknown
family:all:23936	unknown
family:all:23935	unknown
family:all:23934	putative DNA-binding protein
family:all:23933	unknown
family:all:23932	putative DNA-binding protein
family:all:23931	unknown
family:all:23930	unknown
family:all:2393	phi:0000326 - phage function unknown
family:all:23929	unknown
family:all:23928	unknown
family:all:23927	unknown
family:all:23926	unknown
family:all:23925	unknown
family:all:23924	unknown
family:all:23923	unknown
family:all:23922	unknown
family:all:23921	GCN5-related N-acetyltransferase
family:all:23920	unknown
family:all:2392	phi:0000326 - phage function unknown
family:all:23919	unknown
family:all:23918	unknown
family:all:23917	unknown
family:all:23916	unknown
family:all:23915	unknown
family:all:23914	unknown
family:all:23913	unknown
family:all:23912	unknown
family:all:23911	unknown
family:all:23910	unknown
family:all:2391	phi:0000326 - phage function unknown
family:all:23909	unknown
family:all:23908	unknown
family:all:23907	unknown
family:all:23906	unknown
family:all:23905	unknown
family:all:23904	unknown
family:all:23903	membrane spanning protein
family:all:23902	unknown
family:all:23901	unknown
family:all:23900	unknown
family:all:2390	phi:0000326 - phage function unknown
family:all:239	go:0016783 - sulfurtransferase activity
family:all:23899	regulatory protein
family:all:23898	unknown
family:all:23897	unknown
family:all:23896	unknown
family:all:23895	unknown
family:all:23894	unknown
family:all:23893	unknown
family:all:23892	unknown
family:all:23891	unknown
family:all:23890	unknown
family:all:2389	phi:0000326 - phage function unknown
family:all:23889	RecA regulator RecX
family:all:23888	unknown
family:all:23887	flagellar biosynthesis, cell-distal portion of basal-body rod
family:all:23886	unknown
family:all:23885	unknown
family:all:23884	unknown
family:all:23883	unknown
family:all:23882	unknown
family:all:23881	unknown
family:all:23880	unknown
family:all:2388	phi:0000326 - phage function unknown
family:all:23879	unknown
family:all:23878	unknown
family:all:23877	unknown
family:all:23876	unknown
family:all:23875	unknown
family:all:23874	unknown
family:all:23873	unknown
family:all:23872	unknown
family:all:23871	unknown
family:all:23870	unknown
family:all:2387	phi:0000326 - phage function unknown
family:all:23869	unknown
family:all:23868	unknown
family:all:23867	unknown
family:all:23866	unknown
family:all:23865	unknown
family:all:23864	unknown
family:all:23863	unknown
family:all:23862	unknown
family:all:23861	competence transcription factor (C-terminal part)
family:all:23860	unknown
family:all:2386	phi:0000122 - excisionase activity; phi:0000063 - prophage DNA excision
family:all:23859	unknown
family:all:23858	unknown
family:all:23857	beta-lactamase domain-containing protein
family:all:23856	unknown
family:all:23855	unknown
family:all:23854	unknown
family:all:23853	unknown
family:all:23852	unknown
family:all:23851	unknown
family:all:23850	unknown
family:all:2385	phi:0000326 - phage function unknown
family:all:23849	unknown
family:all:23848	unknown
family:all:23847	unknown
family:all:23846	unknown
family:all:23845	unknown
family:all:23844	unknown
family:all:23843	unknown
family:all:23842	unknown
family:all:23841	unknown
family:all:23840	unknown
family:all:2384	phi:0000326 - phage function unknown
family:all:23839	unknown
family:all:23838	hemagglutinin-like secreted protein
family:all:23837	unknown
family:all:23836	unknown
family:all:23835	unknown
family:all:23834	unknown
family:all:23833	unknown
family:all:23832	P10
family:all:23831	unknown
family:all:23830	unknown
family:all:2383	phi:0000326 - phage function unknown
family:all:23829	unknown
family:all:23828	unknown
family:all:23827	unknown
family:all:23826	unknown
family:all:23825	unknown
family:all:23824	unknown
family:all:23823	unknown
family:all:23822	unknown
family:all:23821	unknown
family:all:23820	putative lipoprotein
family:all:2382	go:0004642 - phosphoribosylformylglycinamidine synthase activity
family:all:23819	unknown
family:all:23818	unknown
family:all:23817	unknown
family:all:23816	unknown
family:all:23815	unknown
family:all:23814	unknown
family:all:23813	unknown
family:all:23812	unknown
family:all:23811	go:0015288 - porin activity; go:0016021 - integral to membrane
family:all:23810	unknown
family:all:2381	phi:0000326 - phage function unknown
family:all:23809	unknown
family:all:23808	unknown
family:all:23807	unknown
family:all:23806	unknown
family:all:23805	unknown
family:all:23804	unknown
family:all:23803	unknown
family:all:23802	unknown
family:all:23801	unknown
family:all:23800	unknown
family:all:2380	phi:0000326 - phage function unknown
family:all:238	phi:0000338 - chaperon activity; go:0009408 - response to heat
family:all:238	go:0009408 - response to heat
family:all:238	go:0009266 - response to temperature stimulus
family:all:23799	phage transcriptional regulator, AlpA
family:all:23798	XRE family transcriptional regulator
family:all:23797	unknown
family:all:23796	unknown
family:all:23795	unknown
family:all:23794	unknown
family:all:23793	unknown
family:all:23792	unknown
family:all:23791	unknown
family:all:23790	unknown
family:all:2379	phi:0000068 - phage portal protein; phi:0000012 - phage head tail joining
family:all:23789	unknown
family:all:23788	unknown
family:all:23787	unknown
family:all:23786	unknown
family:all:23785	unknown
family:all:23784	putative methyl-accepting chemotaxis sensory transducer
family:all:23783	unknown
family:all:23782	unknown
family:all:23781	unknown
family:all:23780	unknown
family:all:2378	phi:0000326 - phage function unknown
family:all:23779	IroE protein
family:all:23778	unknown
family:all:23777	unknown
family:all:23776	unknown
family:all:23775	unknown
family:all:23774	unknown
family:all:23773	unknown
family:all:23772	unknown
family:all:23771	unknown
family:all:23770	unknown
family:all:2377	phi:0000326 - phage function unknown
family:all:23769	unknown
family:all:23768	unknown
family:all:23767	unknown
family:all:23766	unknown
family:all:23765	unknown
family:all:23764	unknown
family:all:23763	unknown
family:all:23762	unknown
family:all:23761	unknown
family:all:23760	unknown
family:all:2376	phi:0000326 - phage function unknown
family:all:23759	unknown
family:all:23758	unknown
family:all:23757	unknown
family:all:23756	unknown
family:all:23755	unknown
family:all:23754	unknown
family:all:23753	unknown
family:all:23752	unknown
family:all:23751	unknown
family:all:23750	unknown
family:all:2375	phi:0000326 - phage function unknown
family:all:23749	phi:0000326 - phage function unknown
family:all:23748	unknown
family:all:23747	unknown
family:all:23746	unknown
family:all:23745	unknown
family:all:23744	unknown
family:all:23743	unknown
family:all:23742	unknown
family:all:23741	thimet peptidase
family:all:23740	unknown
family:all:2374	phi:0000326 - phage function unknown
family:all:23739	unknown
family:all:23738	unknown
family:all:23737	unknown
family:all:23736	unknown
family:all:23735	unknown
family:all:23734	unknown
family:all:23733	unknown
family:all:23732	unknown
family:all:23731	unknown
family:all:23730	unknown
family:all:2373	phi:0000326 - phage function unknown
family:all:23729	unknown
family:all:23728	unknown
family:all:23727	unknown
family:all:23726	unknown
family:all:23725	unknown
family:all:23724	unknown
family:all:23723	unknown
family:all:23722	unknown
family:all:23721	unknown
family:all:23720	unknown
family:all:2372	phi:0000326 - phage function unknown
family:all:23719	unknown
family:all:23718	unknown
family:all:23717	unknown
family:all:23716	unknown
family:all:23715	unknown
family:all:23714	unknown
family:all:23713	unknown
family:all:23712	unknown
family:all:23711	unknown
family:all:23710	unknown
family:all:2371	phi:0000326 - phage function unknown
family:all:23709	go:0008821 - crossover junction endodeoxyribonuclease activity
family:all:23708	unknown
family:all:23707	unknown
family:all:23706	unknown
family:all:23705	unknown
family:all:23704	unknown
family:all:23703	unknown
family:all:23702	unknown
family:all:23701	unknown
family:all:23700	unknown
family:all:2370	phi:0000326 - phage function unknown
family:all:237	go:0016491 - oxidoreductase activity
family:all:23699	unknown
family:all:23698	unknown
family:all:23697	unknown
family:all:23696	unknown
family:all:23695	unknown
family:all:23694	unknown
family:all:23693	unknown
family:all:23692	unknown
family:all:23691	unknown
family:all:23690	unknown
family:all:2369	phi:0000013 - phage release by lysis; phi:0000342 - spanin
family:all:23689	unknown
family:all:23688	unknown
family:all:23687	unknown
family:all:23686	unknown
family:all:23685	phage protein
family:all:23684	unknown
family:all:23683	phage protein
family:all:23682	unknown
family:all:23681	unknown
family:all:23680	unknown
family:all:2368	go:0016564 - transcription repressor activity
family:all:23679	unknown
family:all:23678	unknown
family:all:23677	unknown
family:all:23676	unknown
family:all:23675	unknown
family:all:23674	unknown
family:all:23673	unknown
family:all:23672	unknown
family:all:23671	unknown
family:all:23670	unknown
family:all:2367	phi:0000326 - phage function unknown
family:all:23669	putative secreted protein
family:all:23668	unknown
family:all:23667	unknown
family:all:23666	unknown
family:all:23665	unknown
family:all:23664	putative phage membrane protein
family:all:23663	unknown
family:all:23662	unknown
family:all:23661	unknown
family:all:23660	HD superfamily hydrolase
family:all:2366	phi:0000326 - phage function unknown
family:all:23659	unknown
family:all:23658	Type IIA topoisomerase, A subunit
family:all:23657	unknown
family:all:23656	unknown
family:all:23655	unknown
family:all:23654	TPR repeat-containing protein
family:all:23653	chromosome segregation ATPase
family:all:23652	DNA-binding protein H-NS
family:all:23651	unknown
family:all:23650	unknown
family:all:2365	phi:0000326 - phage function unknown
family:all:23649	transcriptional regulator
family:all:23648	transcriptional regulator
family:all:23647	unknown
family:all:23646	site-specific recombinase XerC
family:all:23645	unknown
family:all:23644	pathogenicity island protein
family:all:23643	pathogenicity island protein
family:all:23642	unknown
family:all:23641	unknown
family:all:23640	unknown
family:all:2364	phi:0000326 - phage function unknown
family:all:23639	unknown
family:all:23638	unknown
family:all:23637	unknown
family:all:23636	unknown
family:all:23635	unknown
family:all:23634	unknown
family:all:23633	unknown
family:all:23632	unknown
family:all:23631	unknown
family:all:23630	unknown
family:all:2363	phi:0000326 - phage function unknown
family:all:23629	unknown
family:all:23628	unknown
family:all:23627	unknown
family:all:23626	unknown
family:all:23625	unknown
family:all:23624	unknown
family:all:23623	unknown
family:all:23622	unknown
family:all:23621	unknown
family:all:23620	unknown
family:all:2362	phi:0000326 - phage function unknown
family:all:23619	unknown
family:all:23618	unknown
family:all:23617	unknown
family:all:23616	unknown
family:all:23615	unknown
family:all:23614	unknown
family:all:23613	unknown
family:all:23612	unknown
family:all:23611	unknown
family:all:23610	unknown
family:all:2361	phi:0000326 - phage function unknown
family:all:23609	unknown
family:all:23608	unknown
family:all:23607	unknown
family:all:23606	unknown
family:all:23605	unknown
family:all:23604	methyltransferase type 11
family:all:23603	Myb DNA-binding
family:all:23602	unknown
family:all:23601	unknown
family:all:23600	unknown
family:all:2360	phi:0000326 - phage function unknown
family:all:236	go:0046677 - response to antibiotic; go:0016772 - transferase activity, transferring phosphorus-containing groups
family:all:23599	unknown
family:all:23598	unknown
family:all:23597	unknown
family:all:23596	unknown
family:all:23595	unknown
family:all:23594	unknown
family:all:23593	unknown
family:all:23592	unknown
family:all:23591	unknown
family:all:23590	unknown
family:all:2359	go:0004386 - helicase activity
family:all:23589	unknown
family:all:23588	unknown
family:all:23587	unknown
family:all:23586	unknown
family:all:23585	Phage protein, HK97, gp10
family:all:23584	unknown
family:all:23583	unknown
family:all:23582	unknown
family:all:23581	unknown
family:all:23580	unknown
family:all:2358	phi:0000326 - phage function unknown
family:all:23579	unknown
family:all:23578	unknown
family:all:23577	unknown
family:all:23576	unknown
family:all:23575	unknown
family:all:23574	unknown
family:all:23573	unknown
family:all:23572	unknown
family:all:23571	unknown
family:all:23570	unknown
family:all:2357	phi:0000326 - phage function unknown
family:all:23569	unknown
family:all:23568	unknown
family:all:23567	unknown
family:all:23566	unknown
family:all:23565	unknown
family:all:23564	unknown
family:all:23563	unknown
family:all:23562	unknown
family:all:23561	unknown
family:all:23560	unknown
family:all:2356	go:0016564 - transcription repressor activity
family:all:23559	putative secreted protein
family:all:23558	unknown
family:all:23557	unknown
family:all:23556	phi:0000326 - phage function unknown
family:all:23555	unknown
family:all:23554	LuxR family transcriptional regulator
family:all:23553	unknown
family:all:23552	unknown
family:all:23551	unknown
family:all:23550	unknown
family:all:2355	phi:0000326 - phage function unknown
family:all:23549	unknown
family:all:23548	unknown
family:all:23547	phage regulatory protein
family:all:23546	unknown
family:all:23545	unknown
family:all:23544	unknown
family:all:23543	unknown
family:all:23542	unknown
family:all:23541	unknown
family:all:23540	unknown
family:all:2354	phi:0000326 - phage function unknown
family:all:23539	unknown
family:all:23538	unknown
family:all:23537	unknown
family:all:23536	prophage MuMc02, lipoprotein, putative
family:all:23535	unknown
family:all:23534	unknown
family:all:23533	unknown
family:all:23532	unknown
family:all:23531	unknown
family:all:23530	unknown
family:all:2353	phi:0000326 - phage function unknown
family:all:23529	unknown
family:all:23528	unknown
family:all:23527	unknown
family:all:23526	unknown
family:all:23525	unknown
family:all:23524	unknown
family:all:23523	unknown
family:all:23522	unknown
family:all:23521	unknown
family:all:23520	unknown
family:all:2352	phi:0000174 - capsid tail
family:all:23519	unknown
family:all:23518	unknown
family:all:23517	unknown
family:all:23516	unknown
family:all:23515	unknown
family:all:23514	unknown
family:all:23513	unknown
family:all:23512	unknown
family:all:23511	unknown
family:all:23510	unknown
family:all:2351	phi:0000326 - phage function unknown
family:all:23509	unknown
family:all:23508	unknown
family:all:23507	unknown
family:all:23506	unknown
family:all:23505	unknown
family:all:23504	unknown
family:all:23503	unknown
family:all:23502	unknown
family:all:23501	unknown
family:all:23500	unknown
family:all:2350	phi:0000326 - phage function unknown
family:all:235	go:0004497 - monooxygenase activity
family:all:23499	unknown
family:all:23498	unknown
family:all:23497	unknown
family:all:23496	unknown
family:all:23495	unknown
